id,region,filiere,ktype,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
1305,Pays de la Loire,Bovins lait,5-15% maïs/SFP,136.3,0.2,171.0,96,56.8,17.4,39.4,79.5
1306,Normandie,Grandes cultures,"Race charolaise, 200 places",160.6,0.0,99.6,0,3.6,0.8,1.0,0.0
1307,Bretagne,Ovins lait,"Début de traite au 15/02, ensilage herbe",83.0,0.0,49.8,0,64.0,7.6,56.4,19.0
1308,Bretagne,Caprins,"MB saison, pâturage et affouragement",0.0,0.0,62.7,0,0.0,0.0,0.0,0.0
1309,Pays de la Loire,Ovins viande,3 agn./2 ans non systématique Bergerie ,68.3,0.0,44.3,0,43.6,23.7,19.9,24.7
1310,Normandie,Ovins viande,3 mises bas en 2 ans non systématique,34.1,0.2,21.0,1,6.5,2.4,4.1,27.6
1311,Normandie,Autre,Engraisseur avec diversification canne,7.9,1.5,18.2,0,3.0,0.2,2.5,0.0
1312,Pays de la Loire,Caprins,"2 périodes de mises bas, foin de luzerne",0.0,0.6,32.5,0,0.0,0.0,0.0,0.0
1313,Pays de la Loire,Ovins lait,"Début de traite au 01/09, ensilage herbe",104.5,0.9,58.8,2,85.6,9.9,75.7,14.5
1314,Normandie,Bovins lait,"35% maïs/SFP, 97 VL",105.4,0.0,213.5,32,62.7,0.0,0.0,42.7
1315,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,191.0,0.1,147.1,0,0.9,0.0,0.9,190.1
1316,Bretagne,Ovins lait,"Début de traite au 01/12, enrubannage",103.0,0.1,71.5,0,79.4,14.2,65.2,23.6
1317,Normandie,Ovins viande,Agnelage x2 - agneaux lourds + tardons,129.5,1.8,114.3,0,43.2,17.4,25.8,86.3
1318,Normandie,Bovins lait,"35 % de la SAU en SFP, maïs dominant",214.2,0.5,21.0,121,66.2,13.3,52.9,20.8
1319,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,243.0,1.4,143.0,0,22.6,0.0,0.0,160.5
1320,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",143.8,0.9,95.4,1,117.0,27.7,53.6,26.7
1321,Pays de la Loire,Autre,Engraisseur avec diversification canne,8.6,0.9,20.1,0,3.0,0.0,2.5,0.0
1322,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",127.5,0.0,82.5,0,73.9,14.1,35.1,39.1
1323,Normandie,Bovins viande,Broutards mâles et femelles,76.9,0.0,164.2,1,76.9,9.6,62.8,0.0
1324,Normandie,Caprins,"MB saison, maxi pâturage",15.7,2.0,0.0,1,3.5,2.7,0.9,12.2
1325,Bretagne,Ovins viande,Un agn. En automne Bergerie dominants,167.3,0.0,45.7,1,58.8,40.8,15.8,0.0
1326,Bretagne,Bovins lait,"Zone de plaine, bons potentiels",97.3,0.1,147.5,194,43.2,35.1,8.1,54.1
1327,Pays de la Loire,Bovins lait,"35% maïs/SFP, grande dimension",222.9,0.1,230.0,68,108.4,86.4,22.0,45.7
1328,Bretagne,Bovins viande,"Vêl. étalés, veaux ss la mère limousins",87.3,2.4,153.2,0,57.8,24.6,33.1,29.5
1329,Bretagne,Bovins viande,"Vêl. aut, Broutards lourds, fem. finies",108.2,0.0,95.0,0,97.8,39.5,27.5,10.5
1330,Pays de la Loire,Caprins,Mises bas désaisonnées,92.4,0.0,77.4,0,30.4,9.6,20.8,37.6
1331,Pays de la Loire,Ovins lait,"Début de traite au 15/02, ensilage herbe",101.7,0.0,76.2,0,85.6,17.4,68.1,0.0
1332,Normandie,Ovins lait,"Début de traite au 01/12, enrubannage",133.0,0.5,96.4,0,35.9,16.1,12.9,18.1
1333,Normandie,Ovins viande,Agnelage x2 - bergerie lourds + tardons,95.5,0.0,33.1,1,41.6,17.9,23.7,53.9
1334,Bretagne,Bovins lait,"autonomie protéïque, < 5500 l/VL ",87.7,0.0,11.7,52,63.6,63.6,0.0,24.1
1335,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",155.2,0.0,128.6,0,0.0,0.0,0.0,128.5
1336,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,142.4,0.6,140.8,0,15.5,0.0,0.0,87.2
1337,Normandie,Bovins lait,"30% maïs/SFP, grande dimension",122.1,0.0,199.5,0,54.1,26.0,28.1,45.1
1338,Bretagne,Bovins lait,8500 litres/VL et 25-30% de Maïs/SFP,114.9,0.1,139.5,82,57.3,0.0,0.0,57.6
1339,Bretagne,Autre,Engraisseur avec diversification canne,10.6,0.0,14.1,1,3.1,0.1,2.4,0.5
1340,Bretagne,Bovins viande,"Vêl. aut., veaux ss la mère et broutards",126.3,0.8,100.4,0,90.9,37.7,53.2,18.9
1341,Bretagne,Bovins viande,"Broutards, femelles finies",154.1,0.0,234.8,3,46.6,28.3,18.3,43.2
1342,Bretagne,Bovins viande,"Vêl. automne, jeunes bovins-fem. finies",123.4,0.0,147.2,0,45.6,30.9,11.0,47.3
1343,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",97.9,0.1,50.0,0,46.6,21.1,25.5,6.6
1344,Normandie,Ovins viande,Agnelage x1 - agneaux lourds bergerie,96.8,0.0,92.7,0,6.4,0.0,2.0,3.2
1345,Bretagne,Ovins lait,"Début de traite au 20/11, ensilage",75.9,0.4,124.4,0,63.7,16.9,37.7,12.2
1346,Pays de la Loire,Bovins lait,AOP - petite structure,152.2,1.2,165.9,71,111.6,0.0,4.0,40.6
1347,Pays de la Loire,Ovins lait,"Début de traite au 20/11, ensilage",76.1,0.0,66.0,0,56.7,23.2,33.5,19.4
1348,Normandie,Ovins viande,200 brebis - Petits Fruits,104.1,1.8,79.4,2,5.6,3.7,1.9,46.2
1349,Pays de la Loire,Bovins lait,100% herbe,213.1,0.6,143.0,16,0.0,0.0,0.0,0.0
1350,Bretagne,Bovins viande,"Vêl. hiver, Broutards repoussés",115.5,0.4,107.5,0,34.2,32.7,1.4,16.9
1351,Pays de la Loire,Caprins,"MB désaisonnées, enrubannage",10.0,0.2,28.4,0,5.1,1.5,3.6,0.0
1352,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",278.1,0.0,122.8,0,30.2,1.0,0.0,200.5
1353,Normandie,Grandes cultures,"Race charolaise, 200 places",180.1,0.3,138.7,0,5.8,0.0,1.4,174.3
1354,Bretagne,Bovins viande,"Vêl. automne, Broutards, fem. finies",281.3,1.5,170.3,0,92.6,48.2,36.6,49.9
1355,Bretagne,Bovins viande,"Vêl. hiver-print., Broutards repoussés",0.0,0.0,53.5,1,0.0,0.0,0.0,0.0
1356,Normandie,Autre,Engraisseur avec diversification canne,9.1,0.0,11.2,0,3.0,0.0,3.0,0.0
1357,Pays de la Loire,Autre,Engraisseur avec diversification canne,7.8,1.1,17.0,0,2.6,0.0,2.6,1.1
1358,Pays de la Loire,Ovins viande,200 brebis - Petits Fruits,62.4,0.6,60.4,0,58.1,24.9,33.2,0.0
1359,Pays de la Loire,Autre,Engraisseur avec diversification canne,8.0,0.2,19.1,0,3.4,0.0,2.7,0.0
1360,Normandie,Autre,Engraisseur avec diversification canne,2.4,1.5,17.3,0,2.0,0.0,2.0,0.0
1361,Bretagne,Ovins lait,"Début de traite au 20/02, foin",78.4,0.0,90.7,0,76.7,11.2,60.2,1.7
1362,Normandie,Bovins lait,"60 % de la SAU en SFP, Maïs dominant",43.5,0.0,98.5,80,24.7,5.4,19.3,18.7
1363,Normandie,Bovins lait,100% pâture VL pendant 4 mois,175.6,0.4,156.5,4,151.7,15.3,37.7,23.9
1364,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",121.2,0.0,108.2,0,5.4,0.3,0.0,115.8
1365,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,162.1,1.2,133.3,1,0.0,0.0,0.0,162.1
1366,Pays de la Loire,Bovins viande,"Deux périodes, Jeunes bovins-fem. finies",201.5,0.8,118.2,0,106.6,59.3,17.8,0.0
1367,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",189.7,0.0,150.9,0,18.1,0.7,0.2,171.7
1368,Pays de la Loire,Bovins viande,"Structure moyenne spécialisée, montagne",184.5,0.6,176.8,0,63.4,41.6,21.7,69.3
1369,Normandie,Caprins,"Désaisonnement, 30% LL, foin de luzerne",0.0,0.0,20.8,0,0.0,0.0,0.0,0.0
1370,Pays de la Loire,Ovins viande,Agnelage x2 - agnx maigres ou semi-finis,30.6,0.7,61.3,1,23.3,23.3,0.0,7.2
1371,Pays de la Loire,Bovins lait,20% de maïs/SFP,65.8,0.0,124.5,105,65.8,49.9,15.9,0.0
1372,Normandie,Ovins lait,"Début de traite au 20/11, ensilage",0.0,0.1,109.6,0,0.0,0.0,0.0,0.0
1373,Normandie,Grandes cultures,"Race charolaise, 200 places",275.6,0.0,97.5,0,0.0,0.0,0.0,193.1
1374,Normandie,Caprins,Mises bas désaisonnées,0.0,0.6,13.2,0,0.0,0.0,0.0,0.0
1375,Bretagne,Ovins viande,Deux périodes d'agn. Agneaux Bergerie,66.9,0.0,67.5,0,22.7,11.6,11.1,44.3
1376,Bretagne,Bovins viande,"Race charolaise, vêlages de printemps",109.6,0.4,117.8,0,100.8,62.9,9.6,8.8
1377,Bretagne,Bovins lait,"35 % de la SAU en SFP, maïs dominant",141.5,0.0,219.4,73,77.5,32.8,44.7,39.1
1378,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,81.6,0.2,127.6,0,21.5,0.3,0.0,60.2
1379,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",83.9,0.0,84.0,0,74.6,20.3,30.4,9.3
1380,Bretagne,Caprins,Pastoral misant sur les parcours,79.8,0.0,24.3,0,58.2,1.8,0.0,0.0
1381,Bretagne,Caprins,"Désaisonnement, enrubannage",0.0,0.0,80.9,1,0.0,0.0,0.0,0.0
1382,Bretagne,Ovins lait,"Début de traite au 20/11, ensilage",155.6,0.0,82.3,0,55.5,6.3,49.2,23.2
1383,Normandie,Bovins viande,"Vêl. hiver, Broutards, Rosées des Pyr.",15.7,1.4,66.0,0,15.7,7.0,8.7,0.0
1384,Normandie,Bovins viande,"Vêl.hiver, Broutards et femelles finies",238.7,0.5,170.8,0,74.8,33.0,23.2,17.1
1385,Bretagne,Autre,Engraisseur avec diversification canne,6.4,0.0,15.3,0,2.6,0.0,2.6,0.1
1386,Pays de la Loire,Ovins lait,"Début de traite au 20/02, foin",98.2,0.0,75.1,0,78.1,7.2,51.4,20.1
1387,Normandie,Autre,Engraisseur avec diversification canne,11.0,1.9,20.0,0,2.8,0.2,2.1,0.5
1388,Bretagne,Bovins lait,"35% maïs/SFP, 97 VL",169.4,1.2,81.0,92,115.8,0.0,73.7,53.6
1389,Normandie,Bovins viande,"Vêl. hiver, Jeunes bovins finis (maïs)",131.4,0.0,138.9,0,97.9,68.2,0.0,33.4
1390,Normandie,Grandes cultures,"Race charolaise, 200 places",196.4,0.3,120.5,0,0.8,0.0,0.8,106.8
1391,Pays de la Loire,Ovins viande,Deux périodes d'agn. Bergerie dominants,150.3,0.3,118.8,0,50.2,0.0,3.5,68.8
1392,Bretagne,Bovins lait,25 % maïs/SFP (irrigation),33.2,0.1,142.9,68,17.9,6.5,11.4,15.3
1393,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",100.3,0.0,101.1,0,80.0,18.1,62.0,15.5
1394,Bretagne,Autre,Engraisseur avec diversification canne,11.1,0.0,15.9,0,3.5,0.0,2.5,1.1
1395,Bretagne,Caprins,Un systéme simple mais technique ,50.7,0.0,85.2,0,23.7,2.8,20.9,27.0
1396,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,187.2,0.9,110.2,0,18.4,0.0,0.7,168.8
1397,Normandie,Caprins,"MB saison, pâturage",25.1,0.0,12.4,0,9.1,0.0,9.1,16.0
1398,Normandie,Bovins viande,"Vêl. hiver, Jeunes bovins 16-18 mois",82.9,0.0,204.5,1,64.9,34.2,11.9,0.0
1399,Normandie,Ovins lait,"Début de traite au 20/02, foin",89.9,1.5,104.4,0,89.6,17.2,52.9,0.2
1400,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",57.6,0.0,97.8,0,52.6,16.7,35.9,5.0
1401,Bretagne,Ovins lait,"Début de traite au 05/03, ensilage herbe",101.7,0.0,89.3,0,81.4,9.6,54.9,6.7
1402,Bretagne,Caprins,"Désaisonnement, enrubannage",54.5,0.0,23.4,0,35.1,0.0,24.7,19.4
1403,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,233.4,0.8,136.8,0,18.5,0.0,0.2,85.4
1404,Bretagne,Bovins viande,"Vêl. hiver, Jeunes bovins, fem. finies",55.3,0.0,216.5,2,51.0,40.5,10.5,4.2
1405,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,258.7,0.0,142.4,0,5.2,0.0,0.9,253.5
1406,Bretagne,Autre,Engraisseur avec diversification canne,9.6,1.0,14.0,0,2.6,0.9,1.7,0.0
1407,Bretagne,Ovins viande,Agnelage principal en hiver,96.5,0.6,76.9,0,19.7,19.7,0.0,76.8
1408,Pays de la Loire,Bovins lait,AOP - Zone volcanique d'altitude,298.9,1.7,178.5,65,96.3,5.6,0.0,22.3
1409,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,55.6,0.0,111.6,1,8.7,0.0,0.0,46.9
1410,Bretagne,Bovins viande,"Vêl hiver, Repousse - femelles finies",0.0,0.4,103.2,0,0.0,0.0,0.0,0.0
1411,Bretagne,Ovins lait,"Début de traite au 05/03, ensilage herbe",139.0,0.0,72.8,0,87.6,6.5,16.0,0.0
1412,Normandie,Ovins lait,"Début de traite au 20/02, foin",126.0,0.0,90.9,0,112.6,23.4,87.4,13.4
1413,Pays de la Loire,Ovins viande,Agnelage x1 - agneaux lourds bergerie,85.3,0.0,91.0,2,27.0,13.8,13.2,0.0
1414,Pays de la Loire,Ovins viande,Alimentation sèche ,75.0,0.0,41.9,0,54.3,8.4,28.6,0.0
1415,Bretagne,Autre,Engraisseur avec diversification canne,7.1,0.0,21.8,0,2.3,0.6,1.7,0.0
1416,Normandie,Autre,Engraisseur avec diversification canne,7.0,0.0,14.2,0,2.2,1.1,1.1,0.0
1417,Normandie,Caprins,Pastoral misant sur les parcours,46.1,0.0,16.9,0,46.1,14.7,13.0,0.0
1418,Pays de la Loire,Bovins viande,Broutards mâles et génisses de boucherie,43.4,0.0,115.5,1,37.5,19.5,18.0,5.9
1419,Normandie,Autre,Engraisseur avec diversification canne,7.8,0.8,23.4,0,4.2,0.5,2.2,0.9
1420,Bretagne,Ovins viande,Un agn. en automne Bergerie et herbe,76.9,0.2,78.8,0,59.5,6.6,16.7,17.3
1421,Bretagne,Grandes cultures,"Race charolaise, 200 places",179.1,0.0,131.2,0,29.1,0.4,0.0,112.9
1422,Bretagne,Bovins lait,"7750 litres/VL, 20-30% de maïs/SFP",186.5,0.0,211.4,125,106.5,16.9,39.6,0.0
1423,Normandie,Autre,Engraisseur avec diversification canne,7.9,0.0,12.0,0,3.7,0.7,3.0,0.0
1424,Bretagne,Ovins lait,"Début de traite au 20/02, foin",170.4,0.2,74.5,1,100.6,16.4,35.7,23.2
1425,Normandie,Ovins lait,"Début de traite au 20/02, foin",76.1,0.0,90.8,1,55.4,5.1,50.3,20.7
1426,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",74.8,0.0,70.0,0,49.5,9.3,40.1,2.1
1427,Pays de la Loire,Autre,Engraisseur avec diversification canne,11.5,0.0,16.3,1,2.9,1.1,1.8,0.1
1428,Bretagne,Ovins lait,"Début de traite au 05/03, ensilage herbe",153.5,2.3,97.0,0,46.0,8.6,37.5,32.0
1429,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",129.2,0.5,70.9,0,0.0,0.0,0.0,14.2
1430,Pays de la Loire,Ovins viande,300 brebis - Agneaux fini en bergerie,143.5,0.0,27.4,0,48.3,19.0,6.4,0.0
1431,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",247.1,0.7,166.1,0,0.0,0.0,0.0,197.2
1432,Normandie,Bovins lait," 25% maïs/SFP, vaches allaitantes et JB",278.6,1.8,97.6,41,137.4,62.8,23.5,141.2
1433,Pays de la Loire,Bovins lait,"60 % de la SAU en SFP, Maïs dominant",174.2,0.6,159.6,19,130.3,0.0,18.9,44.0
1434,Pays de la Loire,Ovins viande,Deux périodes d'agn. Reproducteurs,66.3,0.0,39.2,0,22.8,4.0,18.7,41.0
1435,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,96.6,0.6,134.6,0,0.2,0.0,0.2,96.4
1436,Normandie,Autre,Engraisseur avec diversification canne,11.2,0.3,17.6,0,2.8,0.5,2.3,0.5
1437,Normandie,Bovins viande,"Structure moyenne mixte, coteaux",47.1,0.0,94.8,1,31.1,21.4,9.7,16.0
1438,Normandie,Bovins lait,30 % de la SAU en SFP - maïs dominant,131.2,0.0,161.6,8,30.3,22.8,7.5,11.9
1439,Pays de la Loire,Bovins lait,Herbager ensilage d'herbe,169.9,0.4,84.9,44,97.0,62.3,34.7,18.4
1440,Pays de la Loire,Caprins,"MB saison, pâturage",58.8,1.4,63.3,0,22.6,0.7,21.9,0.0
1441,Pays de la Loire,Ovins viande,200 brebis race bouchère - Batiment,24.9,1.1,111.6,0,17.4,3.7,13.7,7.5
1442,Bretagne,Ovins viande,Agnelage principal en hiver,87.1,0.0,58.9,0,0.0,0.0,0.0,19.6
1443,Pays de la Loire,Ovins viande,Agnelage x2 - agnx maigres ou semi-finis,56.8,1.8,82.2,0,12.9,11.9,1.0,43.9
1444,Bretagne,Grandes cultures,"Race charolaise, 200 places",72.3,0.0,144.0,0,3.6,0.4,0.8,68.6
1445,Normandie,Bovins viande,"Vêl. hiver-printemps, Broutards lourds",74.0,0.3,105.2,0,53.4,20.6,32.8,20.6
1446,Bretagne,Bovins lait,Massif jurassien,24.6,0.0,115.4,90,24.6,24.6,0.0,0.0
1447,Bretagne,Ovins viande,Un agn. en automne Bergerie et herbe,204.5,0.0,61.0,1,63.6,14.2,34.3,36.9
1448,Bretagne,Caprins,"MB saison, maxi pâturage",34.5,0.0,3.6,0,20.8,0.0,20.8,11.8
1449,Normandie,Ovins viande,Un agn. en automne Bergerie dominants,23.6,0.1,84.7,0,4.3,3.0,1.3,19.2
1450,Normandie,Autre,Engraisseur avec diversification canne,11.1,0.6,17.4,0,3.2,0.6,2.6,1.1
1451,Normandie,Autre,Engraisseur avec diversification canne,8.9,0.0,20.1,0,3.4,0.0,3.4,0.0
1452,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,190.3,0.0,129.8,2,0.0,0.0,0.0,125.7
1453,Normandie,Bovins viande,Broutards mâles et femelles,12.1,0.3,208.1,0,7.5,5.5,2.0,4.7
1454,Pays de la Loire,Ovins viande,Agnelage x2 - agneaux lourds + tardons,0.0,0.0,100.1,0,0.0,0.0,0.0,0.0
1455,Pays de la Loire,Ovins lait,"Début de traite au 15/02, ensilage herbe",49.1,0.6,38.9,0,0.5,0.3,0.2,32.5
1456,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,95.0,0.4,129.7,0,7.2,0.0,0.0,87.8
1457,Bretagne,Ovins lait,"Début de traite au 01/12, enrubannage",112.8,0.0,113.5,1,81.5,17.2,64.2,20.2
1458,Bretagne,Ovins viande,3 agn.s en 2 ans Bergerie dominants,0.0,0.6,68.2,0,0.0,0.0,0.0,0.0
1459,Normandie,Autre,Engraisseur avec diversification canne,11.0,0.0,22.3,0,3.2,0.0,3.2,0.0
1460,Pays de la Loire,Autre,Engraisseur avec diversification canne,9.8,0.1,25.3,0,2.5,0.0,2.5,0.0
1461,Normandie,Bovins viande,Un agn. en hiver Bergerie dominants,16.6,0.0,137.3,2,13.2,1.8,11.4,3.4
1462,Pays de la Loire,Bovins viande,"Vêl. hiver, Jeunes bovins, fem. finies",194.4,0.0,84.8,0,162.6,137.0,25.6,31.7
1463,Normandie,Bovins lait,"Robot de traite, 35% maïs/SFP",99.6,0.4,184.3,126,59.3,12.5,41.9,40.3
1464,Bretagne,Autre,Engraisseur avec diversification canne,8.6,0.0,22.1,0,2.7,0.8,1.9,0.0
1465,Normandie,Bovins viande,"Vêl. hiver-print, Broutards, fem. finies",40.7,0.0,99.8,1,40.7,24.8,15.9,0.0
1466,Bretagne,Autre,Engraisseur avec diversification canne,9.4,0.5,15.0,0,2.7,0.0,1.7,0.0
1467,Pays de la Loire,Bovins lait,30 % de la SAU en SFP - maïs dominant,204.0,0.0,79.5,121,49.1,49.1,0.0,11.0
1468,Bretagne,Autre,Engraisseur avec diversification canne,13.3,0.2,21.8,0,3.0,0.0,3.0,0.0
1469,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,249.4,1.4,138.0,0,11.3,0.0,0.0,86.8
1470,Bretagne,Bovins viande,Charolaise - Boeufs et femelles finies,109.3,0.0,171.6,0,71.0,60.1,10.8,38.3
1471,Pays de la Loire,Caprins,Mises bas désaisonnées,13.9,0.9,34.8,0,6.7,3.3,3.4,7.2
1472,Normandie,Caprins,"MB saison, pâturage et foin",0.0,0.0,73.8,0,0.0,0.0,0.0,0.0
1473,Pays de la Loire,Caprins,Une gamme bien valorisée,29.2,0.0,0.0,0,8.8,0.0,8.8,20.4
1474,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,203.6,0.3,102.9,0,3.8,0.0,0.0,134.8
1475,Bretagne,Bovins viande,"Vêl. automne, Jeunes bovins lourds ",195.4,0.0,124.6,0,124.4,96.2,28.2,53.8
1476,Normandie,Autre,Engraisseur avec diversification canne,15.1,0.5,19.5,0,2.8,0.0,2.5,0.1
1477,Bretagne,Ovins lait,"Début de traite au 20/02, foin",99.2,0.0,97.6,0,45.2,11.4,33.8,29.6
1478,Normandie,Ovins viande,Agnelage x2 - agneaux semi-finis,132.2,0.0,39.5,0,1.7,0.1,1.6,1.1
1479,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",88.9,1.0,109.6,0,69.9,13.6,50.9,15.6
1480,Pays de la Loire,Ovins viande,600 brebis IDF - 3 périodes d'agnelage,121.1,1.1,55.6,0,20.0,16.7,3.2,101.1
1481,Pays de la Loire,Ovins viande,Agnelage x2 - agneaux lourds bergerie,43.5,1.0,49.3,1,23.3,12.4,10.8,20.3
1482,Normandie,Ovins lait,"Début de traite au 15/02, ensilage herbe",83.0,0.1,93.6,0,69.5,11.8,10.1,13.5
1483,Normandie,Ovins lait,"Début de traite au 15/02, ensilage herbe",44.4,0.6,127.0,0,34.9,8.0,26.9,9.4
1484,Normandie,Ovins viande,3 mises bas en 2 ans non systématique,142.6,0.0,100.2,0,71.4,19.3,0.0,26.0
1485,Normandie,Caprins,"Deux périodes de MB, foin de luzerne",74.5,0.0,0.0,0,0.0,0.0,0.0,56.3
1486,Pays de la Loire,Autre,Engraisseur avec diversification canne,10.1,0.0,12.3,0,2.9,0.0,2.9,2.2
1487,Pays de la Loire,Bovins viande,Spécialisé Naisseur broutards croisés ,140.0,0.0,121.4,0,61.3,38.5,12.9,78.7
1488,Bretagne,Autre,Engraisseur avec diversification canne,9.8,0.1,16.1,0,2.7,0.0,2.0,0.0
1489,Bretagne,Caprins,Pastoral misant sur le distribué,39.5,0.7,5.8,1,22.3,3.8,18.5,17.2
1490,Pays de la Loire,Ovins viande,Agnelage x2 - agneaux semi-finis,121.9,0.4,46.1,0,35.5,0.0,19.3,86.4
1491,Normandie,Autre,Engraisseur avec diversification canne,15.3,0.0,18.3,0,4.1,1.3,2.8,0.0
1492,Pays de la Loire,Autre,Engraisseur avec diversification canne,11.0,0.0,19.4,1,3.2,0.1,3.1,0.0
1493,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",126.2,1.2,78.7,0,80.4,15.3,59.1,0.0
1494,Normandie,Ovins viande,Agnelage x1 - tardons semi-finis,95.0,0.9,59.5,0,41.1,25.6,15.5,16.1
1495,Pays de la Loire,Bovins lait,"14% maïs/SFP, Bœufs normands",0.0,0.0,124.5,119,0.0,0.0,0.0,0.0
1496,Pays de la Loire,Bovins viande,"Vêl. étalés, Veaux de lait sous la mère",94.5,0.8,81.7,0,48.3,12.1,36.2,46.2
1497,Bretagne,Bovins lait,50% mais/SFP,102.0,0.0,227.0,43,27.5,5.6,22.0,12.2
1498,Pays de la Loire,Ovins viande,1 période de mise bas,29.2,0.0,63.6,0,29.2,14.9,14.2,0.0
1499,Normandie,Bovins lait,"85 % de la sau en SFP, maïs dominant",132.3,1.0,232.0,27,123.5,43.4,0.0,8.8
1500,Normandie,Grandes cultures,"Race charolaise, 200 places",281.6,0.0,156.8,0,11.7,0.1,2.3,269.9
1501,Normandie,Ovins lait,"Début de traite au 01/09, ensilage herbe",74.0,1.4,53.1,0,53.1,22.0,31.1,20.9
1502,Normandie,Ovins lait,"Début de traite au 15/02, ensilage herbe",38.2,0.0,80.3,0,22.8,3.7,19.1,15.5
1503,Bretagne,Grandes cultures,"Race charolaise, 200 places",160.2,0.0,118.9,0,19.0,0.0,0.9,141.1
1504,Pays de la Loire,Caprins,"Désaisonnement, enrubannage",0.0,0.1,4.1,0,0.0,0.0,0.0,0.0
1505,Bretagne,Grandes cultures,"Race charolaise, 200 places",123.6,0.6,108.8,0,8.4,0.0,0.0,115.1
1506,Pays de la Loire,Bovins lait,AOP Laguiole,138.7,0.8,180.5,99,86.9,46.9,40.0,51.1
1507,Pays de la Loire,Bovins lait,20% de maïs/SFP,194.0,0.0,83.9,95,153.1,18.2,78.7,18.9
1508,Bretagne,Caprins,Tendre vers l'autonomie fourragère,31.2,0.0,41.6,1,14.5,7.8,6.7,16.7
1509,Pays de la Loire,Autre,Engraisseur avec diversification canne,12.9,0.0,26.7,0,3.6,0.4,2.9,0.5
1510,Pays de la Loire,Ovins lait,"Début de traite au 01/09, ensilage herbe",160.2,0.2,95.9,0,83.7,20.4,48.3,24.3
1511,Pays de la Loire,Bovins lait,"30% maïs/SFP, grande dimension",142.8,0.7,118.5,0,142.8,73.8,2.3,0.0
1512,Normandie,Ovins viande,Un agn. En automne Bergerie dominants,55.3,0.0,63.3,0,40.4,19.3,21.1,0.0
1513,Pays de la Loire,Ovins viande,200 brebis - Romane - 100 Ha,0.0,0.7,55.0,0,0.0,0.0,0.0,0.0
1514,Bretagne,Ovins lait,"Début de traite au 15/12, foin ventilé",102.7,0.0,92.4,0,56.5,24.6,27.7,37.2
1515,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,84.7,1.8,133.3,0,10.6,0.9,1.1,73.7
1516,Normandie,Bovins viande,"Vêl. automne-hiver, jeunes bovins finis",9.8,0.5,132.6,0,5.5,4.3,1.2,4.3
1517,Pays de la Loire,Bovins viande,"Vêl. Print., Taurillons et fem. maigres",190.1,0.2,135.6,0,135.2,92.9,28.1,38.2
1518,Pays de la Loire,Ovins viande,Ile de france - 1 agnelage en automne,0.0,1.3,77.9,0,0.0,0.0,0.0,0.0
1519,Pays de la Loire,Ovins viande,Un agn. en automne Bergerie et herbe,40.5,0.0,75.7,0,17.1,7.0,10.1,23.4
1520,Pays de la Loire,Caprins,Pastoral assurant par le distribué,20.7,1.6,21.1,0,9.8,0.0,9.8,10.9
1521,Bretagne,Bovins lait,"Robot de traite, 50% Maïs/SFP",181.3,0.3,151.0,0,169.2,1.3,21.2,12.1
1522,Pays de la Loire,Bovins lait,"Robot de traite, 35% maïs/SFP",234.9,0.0,76.0,34,71.4,31.5,39.9,14.3
1523,Pays de la Loire,Bovins viande,Spécialisé Naisseur broutards croisés ,107.2,0.0,104.6,0,61.2,49.5,11.7,22.1
1524,Normandie,Grandes cultures,"Race charolaise, 200 places",141.7,0.0,121.6,0,0.0,0.0,0.0,141.7
